Scenario,Computer,Application,Device,Subscription Order,Weight,Session,Average RTT,Average Req Resp Delay,Average Reconnection Count,Average Error Packets Count
scenario_0,comp1,app1,dev12,sub26,0.5,Session 1: 10.0.0.230-10.0.0.125,2.4105,0.0,0.0,4.0
scenario_0,comp1,app1,dev11,sub25,0.5,Session 2: 10.0.0.230-10.0.0.124,2.3605,0.0,0.0,4.0
scenario_0,comp1,app1,dev10,sub24,0.3,Session 3: 10.0.0.230-10.0.0.123,2.4265,0.0,0.0,4.0
scenario_0,comp1,app1,dev9,sub23,0.3,Session 4: 10.0.0.230-10.0.0.122,2.3605,0.0,0.0,4.0
scenario_0,comp1,app1,dev8,sub22,0.3,Session 5: 10.0.0.230-10.0.0.121,2.396,0.0,0.0,4.0
scenario_0,comp1,app1,dev7,sub21,0.3,Session 6: 10.0.0.230-10.0.0.120,2.053,0.0,0.0,4.0
scenario_0,comp1,app4,dev20,sub34,0.8,Session 7: 10.0.0.230-10.0.0.137,1.3447,0.0,0.0,4.0
scenario_0,comp1,app4,dev18,sub32,0.8,Session 8: 10.0.0.230-10.0.0.135,1.2553,0.0,0.0,4.0
scenario_0,comp1,app4,dev19,sub33,0.8,Session 9: 10.0.0.230-10.0.0.136,1.2927,0.0,0.0,4.0
scenario_0,comp1,app4,dev17,sub31,0.8,Session 10: 10.0.0.230-10.0.0.134,0.9253,0.0,0.0,4.0
,,,,,,Session 1: 10.0.0.230-10.0.0.121,1.4065,1.8797,0.0357,0.1429
,,,,,,Session 2: 10.0.0.230-10.0.0.125,2.6,0.0,0.0,4.0
,,,,,,Session 3: 10.0.0.230-10.0.0.124,2.482,0.0,0.0,4.0
,,,,,,Session 4: 10.0.0.230-10.0.0.123,2.356,0.0,0.0,4.0
,,,,,,Session 5: 10.0.0.230-10.0.0.122,2.145,0.0,0.0,4.0
,,,,,,Session 2: 10.0.0.230-10.0.0.135,8.467,1.6267,0.037,0.0741
,,,,,,Session 3: 10.0.0.230-10.0.0.134,8.5553,1.5992,0.037,0.0741
,,,,,,Session 4: 10.0.0.230-10.0.0.136,8.577,1.6159,0.037,0.0741
,,,,,,Session 5: 10.0.0.230-10.0.0.137,8.6002,1.6389,0.037,0.0741
,,,,,,Session 6: 10.0.0.230-10.0.0.125,1.4895,2.0506,0.037,0.1111
,,,,,,Session 7: 10.0.0.230-10.0.0.124,1.461,2.0003,0.037,0.0741
,,,,,,Session 8: 10.0.0.230-10.0.0.123,1.3987,1.8717,0.037,0.0741
,,,,,,Session 9: 10.0.0.230-10.0.0.122,1.4162,1.9331,0.037,0.0741
,,,,,,Session 10: 10.0.0.230-10.0.0.120,1.3663,1.8309,0.037,0.0741
,,,,,,Session 1: 10.0.0.200-10.0.0.131,6.1578,1.1544,0.0,0.0
,,,,,,Session 2: 10.0.0.200-10.0.0.130,6.2076,1.2448,0.0,0.0
,,,,,,Session 3: 10.0.0.200-10.0.0.115,8.1119,1.4662,0.0,0.0
,,,,,,Session 4: 10.0.0.200-10.0.0.114,8.0447,1.4481,0.0,0.0
